simulation,manning_mean,manning_median,depth_mean,depth_median,flooded_area_km2
183,0.060558592303053535,0.0728258533691246,1.1290282011032104,1.0370292663574219,0.5624
184,0.06461009393514046,0.0786390491080624,1.05154550075531,0.9272308349609375,0.533975
185,0.06929539737871822,0.0770490571524078,1.0820218324661255,0.9797172546386719,0.550725
186,0.05486655041621451,0.0444567062334362,1.0342068672180176,0.9180717468261719,0.53615
187,0.06409169631298606,0.0612141971419646,1.1252524852752686,1.0263442993164062,0.554775
188,0.04139124580877682,0.0284312068173106,0.9912906885147095,0.82489013671875,0.519975
189,0.04190074242601053,0.0382515050378075,1.032292366027832,0.918060302734375,0.537125
190,0.05761584358039163,0.067600911834063,1.0279408693313599,0.8878631591796875,0.5414749999999999
191,0.06275588418716957,0.0612544207336327,1.1055371761322021,1.0170669555664062,0.5576249999999999
192,0.06895390680459854,0.0608855920020801,1.0341852903366089,0.9231033325195312,0.5374749999999999
193,0.05038759865116416,0.0452059409678817,1.0586059093475342,0.9645004272460938,0.548325
194,0.049851851684876686,0.0402203326847904,1.0756103992462158,0.9801712036132812,0.552375
195,0.0423539779148834,0.038392345252646,1.0604488849639893,0.969818115234375,0.549625
196,0.06983587152511381,0.0729615328933164,1.058333158493042,0.9544944763183594,0.5457
197,0.068696707039671,0.0615933651710172,1.0536441802978516,0.950714111328125,0.540625
198,0.056518173685646225,0.0730138150134962,1.1018667221069336,1.0218505859375,0.563075
199,0.06390928892873833,0.071511899586827,1.0654114484786987,0.9573554992675781,0.54275
200,0.05076627882099844,0.0447439258967961,1.0104035139083862,0.875885009765625,0.5304249999999999
201,0.05886091143736312,0.0589800728082536,1.0635547637939453,0.9647598266601562,0.5444749999999999
202,0.08167477399282398,0.0524962269964063,1.0692603588104248,0.950958251953125,0.5474749999999999
203,0.057687970284863575,0.0678305544148543,1.048876404762268,0.9466323852539062,0.5430499999999999
204,0.04980808181544925,0.0390917507377253,0.996098518371582,0.837738037109375,0.520775
205,0.04836446584643228,0.0387836208595331,1.076218843460083,0.968902587890625,0.544325
206,0.06309137463147531,0.0563623870881703,1.0701079368591309,0.9758453369140625,0.5504749999999999
207,0.05030030080526779,0.0349698390930223,1.0802700519561768,0.977996826171875,0.5494
