,sfincs_depth_mean,sfincs_depth_median,sfincs_area_km2,sfincs_manning_mean,hecras_depth_mean,hecras_depth_median,hecras_area_km2,hecras_manning_mean
507,1.0693041,0.96418,0.54525,0.046954931992680506,1.2978233,1.0115509,0.683075,0.05067224361484152
508,1.0403293,0.91991425,0.5414749999999999,0.03604702982408802,1.2977971,1.0114899,0.6830999999999999,0.0407690385010021
509,1.0321758,0.91314316,0.53535,0.05543500749896186,1.2978827,1.0115623,0.6830499999999999,0.06174220870883939
510,1.0037988,0.82434845,0.527975,0.06631100807558486,1.2978191,1.0115585,0.683075,0.073930140837495
511,1.0532831,0.93886566,0.544775,0.03986087167846008,1.2978737,1.0115719,0.6830499999999999,0.04595621879020324
512,1.0597949,0.95526886,0.541775,0.057549665333487446,1.2978126,1.0114937,0.6830999999999999,0.06322624853079661
513,1.0812565,0.9843712,0.553875,0.060962564000427044,1.2978197,1.0115509,0.683075,0.06827255103529117
514,1.0153009,0.88716507,0.53455,0.050068158227964996,1.2978204,1.0115509,0.683075,0.05404373515165463
515,1.0683768,0.9698372,0.5474,0.057904313540384646,1.2978344,1.0115509,0.683075,0.06437417754640401
516,1.0640982,0.96432495,0.5425249999999999,0.06297867394447858,1.2978697,1.0115719,0.6830499999999999,0.07149780928987999
517,1.0913752,0.9948654,0.5524749999999999,0.05412632247125525,1.297937,1.0115929,0.683025,0.05929021348489294
518,1.031929,0.9112091,0.5344,0.04802719647407445,1.297844,1.0115509,0.683075,0.052194995898918614
519,0.99566656,0.8426056,0.521475,0.04795134633243934,1.2978235,1.0115509,0.683075,0.05379328772356006
520,0.98263276,0.80161285,0.514725,0.061503374718094354,1.2978315,1.0115509,0.683075,0.06222532879069966
521,1.0772582,0.9790077,0.55155,0.050415950768380575,1.2978636,1.0115681,0.6830499999999999,0.053088264524906836
522,1.063387,0.9658928,0.5484,0.06294185314833226,1.2978776,1.0115757,0.6830499999999999,0.06685529162492232
523,1.0617516,0.96624756,0.549775,0.047940499171939946,1.2978147,1.0115509,0.683075,0.055565145641009485
524,1.078095,0.97740364,0.5469999999999999,0.046650236029610354,1.297821,1.0115509,0.683075,0.051484224536995325
525,1.0581143,0.9646759,0.549375,0.0658649986627035,1.2978691,1.0115585,0.683075,0.07396857862011409
526,1.0861808,0.9978485,0.555375,0.05442987695866864,1.297838,1.0115509,0.683075,0.05889452246933828
527,1.0190787,0.89396286,0.537725,0.047561912365484266,1.297822,1.0115509,0.683075,0.05250456756188789
528,1.0162027,0.85328674,0.531925,0.04713622259494991,1.2978671,1.0115719,0.6830499999999999,0.05144620318824014
529,1.0503975,0.9422531,0.5425,0.05304633397224806,1.2978135,1.0115509,0.683075,0.05499690846304685
530,1.043639,0.931427,0.539875,0.05596310123430492,1.2978041,1.0115509,0.683075,0.058414817561972185
531,1.0802912,0.9569931,0.5419499999999999,0.057253220136097085,1.2978249,1.0115509,0.683075,0.059554013025227684
532,1.0256104,0.91062164,0.537775,0.06477256144144186,1.2978371,1.0115509,0.683075,0.07051339328393352
533,1.0093668,0.8544159,0.52545,0.06376868954008272,1.2978073,1.0115509,0.683075,0.07030152811699715
534,1.0549889,0.95547867,0.54065,0.06244946250030647,1.2978365,1.0115509,0.683075,0.06671787272453747
535,1.0056651,0.8607788,0.525525,0.06541464957801042,1.2978737,1.0115719,0.6830499999999999,0.07316101531151455
536,1.04542,0.9039459,0.530175,0.04788616411789102,1.2978408,1.0115585,0.683075,0.05107724637486493
537,1.0358481,0.91913795,0.53775,0.0729449400082664,1.2978234,1.0115509,0.683075,0.0763187032990811
538,1.0231643,0.902977,0.536925,0.05303790315102738,1.2978255,1.0115585,0.683075,0.057553873056275795
539,1.051839,0.95275116,0.5485,0.05983645783967712,1.2978315,1.0115509,0.683075,0.0620867635009633
540,1.0220802,0.9039459,0.5383749999999999,0.033685496518668576,1.2978786,1.0115719,0.6830499999999999,0.03694691631213409
