id,x,y
1,245321,3509510
1,245321,3509270
1,245351,3509270
1,245351,3509210
1,245381,3509210
1,245381,3509150
1,245411,3509150
1,245411,3509120
1,245441,3509120
1,245441,3509090
1,245501,3509090
1,245501,3509060
1,245531,3509060
1,245531,3509030
1,245561,3509030
1,245561,3508940
1,245591,3508940
1,245591,3508880
1,245621,3508880
1,245621,3508820
1,245651,3508820
1,245651,3508760
1,245681,3508760
1,245681,3508730
1,245651,3508730
1,245651,3508640
1,245621,3508640
1,245621,3508550
1,245591,3508550
1,245591,3508460
1,245621,3508460
1,245621,3508400
1,245651,3508400
1,245651,3508310
1,245621,3508310
1,245621,3508280
1,245591,3508280
1,245591,3508220
1,245591,3508160
1,245561,3508160
1,245561,3507860
1,245531,3507860
1,245531,3507830
1,245501,3507830
1,245501,3507800
1,245531,3507800
1,245531,3507740
1,245561,3507740
1,245561,3507680
1,245591,3507680
1,245591,3507530
1,245621,3507530
1,245621,3507380
1,245651,3507380
1,245651,3507350
1,245711,3507350
1,245711,3507320
1,245741,3507320
1,245741,3507290
1,245861,3507290
1,245861,3507140
1,245891,3507140
1,245891,3506960
1,245921,3506960
1,245921,3506810
1,245591,3506810
1,245591,3506780
1,245561,3506780
1,245561,3506750
1,245531,3506750
1,245531,3506720
1,245501,3506720
1,245501,3506690
1,245351,3506690
1,245351,3506570
1,245381,3506570
1,245381,3506390
1,245351,3506390
1,245351,3506360
1,245321,3506360
1,245321,3506330
1,245231,3506330
1,245231,3506300
1,245201,3506300
1,245201,3506270
1,245171,3506270
1,245171,3506240
1,245111,3506240
1,245111,3506210
1,245051,3506210
1,245051,3506180
1,244991,3506180
1,244991,3506210
1,244931,3506210
1,244931,3506240
1,244901,3506240
1,244901,3506270
1,244871,3506270
1,244871,3506300
1,244781,3506300
1,244781,3506330
1,244721,3506330
1,244721,3506420
1,244691,3506420
1,244691,3506450
1,244631,3506450
1,244631,3506420
1,244481,3506420
1,244481,3506390
1,244391,3506390
1,244391,3506420
1,244301,3506420
1,244301,3506540
1,244271,3506540
1,244271,3506570
1,244181,3506570
1,244181,3506600
1,244121,3506600
1,244121,3506630
1,244091,3506630
1,244091,3506660
1,244061,3506660
1,244061,3506690
1,244031,3506690
1,244031,3506660
1,243971,3506660
1,243971,3506690
1,243911,3506690
1,243911,3506660
1,243881,3506660
1,243881,3506690
1,243821,3506690
1,243821,3506720
1,243791,3506720
1,243791,3506750
1,243731,3506750
1,243731,3506810
1,243611,3506810
1,243611,3506840
1,243551,3506840
1,243551,3506870
1,243521,3506870
1,243521,3506900
1,243491,3506900
1,243491,3506930
1,243461,3506930
1,243461,3506960
1,243431,3506960
1,243431,3506990
1,243401,3506990
1,243401,3507050
1,243371,3507050
1,243371,3507080
1,243281,3507080
1,243281,3507110
1,243221,3507110
1,243221,3507140
1,243161,3507140
1,243161,3507170
1,243071,3507170
1,243071,3507200
1,243041,3507200
1,243041,3507170
1,243011,3507170
1,243011,3506960
1,242981,3506960
1,242981,3506930
1,243011,3506930
1,243011,3506870
1,242951,3506870
1,242951,3506840
1,242921,3506840
1,242921,3506810
1,242861,3506810
1,242861,3506780
1,242801,3506780
1,242801,3506750
1,242681,3506750
1,242681,3506780
1,242621,3506780
1,242621,3506810
1,242561,3506810
1,242561,3506840
1,242531,3506840
1,242531,3506810
1,242501,3506810
1,242501,3506840
1,242441,3506840
1,242441,3506900
1,242411,3506900
1,242411,3506930
1,242381,3506930
1,242381,3506960
1,242351,3506960
1,242351,3506990
1,242321,3506990
1,242321,3507020
1,242261,3507020
1,242261,3507050
1,242231,3507050
1,242231,3507080
1,242201,3507080
1,242201,3507140
1,242171,3507140
1,242171,3507170
1,242141,3507170
1,242141,3507200
1,241871,3507200
1,241871,3507260
1,241781,3507260
1,241781,3507320
1,241751,3507320
1,241751,3507350
1,241721,3507350
1,241721,3507380
1,241691,3507380
1,241691,3507410
1,241661,3507410
1,241661,3507440
1,241631,3507440
1,241631,3507530
1,241601,3507530
1,241601,3507560
1,241541,3507560
1,241541,3507590
1,241511,3507590
1,241511,3507620
1,241481,3507620
1,241481,3507650
1,241421,3507650
1,241421,3507680
1,241391,3507680
1,241391,3507710
1,241331,3507710
1,241331,3507770
1,241301,3507770
1,241301,3507800
1,241271,3507800
1,241271,3507830
1,241241,3507830
1,241241,3507860
1,241211,3507860
1,241211,3507890
1,241151,3507890
1,241151,3507920
1,241001,3507920
1,241001,3508010
1,241031,3508010
1,241031,3508100
1,241061,3508100
1,241061,3508160
1,241031,3508160
1,241031,3508220
1,241001,3508220
1,241001,3508280
1,241031,3508280
1,241031,3508400
1,241001,3508400
1,241001,3508430
1,240941,3508430
1,240941,3508460
1,240881,3508460
1,240881,3508430
1,240671,3508430
1,240671,3508400
1,240611,3508400
1,240611,3508430
1,240551,3508430
1,240551,3508520
1,240521,3508520
1,240521,3508580
1,240491,3508580
1,240491,3508610
1,240461,3508610
1,240461,3508760
1,240491,3508760
1,240491,3508850
1,240521,3508850
1,240521,3508880
1,240491,3508880
1,240491,3508910
1,240521,3508910
1,240521,3509000
1,240491,3509000
1,240491,3509060
1,240461,3509060
1,240461,3509090
1,240431,3509090
1,240431,3509120
1,240371,3509120
1,240371,3509180
1,240311,3509180
1,240311,3509210
